Date,Workout Name,Exercise Name,Set Order,kg,Reps,km,Seconds,Notes
2015-04-21 20:15:08,"GVT Bench","Bench Press",7,37.5,10,0.0,0,""
2015-04-21 20:15:08,"GVT Bench","Bench Press",8,37.5,8,0.0,0,""
2015-04-21 20:15:08,"GVT Bench","Bench Press",9,37.5,5,0.0,0,""
2015-04-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",0,24.0,10,0.0,0,""
2015-04-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",1,24.0,10,0.0,0,""
2015-04-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",2,24.0,10,0.0,0,""
2015-04-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",3,24.0,10,0.0,0,""
2015-04-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",4,24.0,10,0.0,0,""
2015-04-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",5,24.0,10,0.0,0,""
2015-04-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",6,24.0,10,0.0,0,""
2015-04-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",7,24.0,10,0.0,0,""
2015-04-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",8,24.0,8,0.0,0,""
2015-04-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",9,24.0,8,0.0,0,""
2015-04-23 20:15:08,"GVT Incline Bench","Incline Bench Press",0,30.0,10,0.0,0,""
2015-04-23 20:15:08,"GVT Incline Bench","Incline Bench Press",1,30.0,10,0.0,0,""
2015-04-23 20:15:08,"GVT Incline Bench","Incline Bench Press",2,30.0,10,0.0,0,""
2015-04-23 20:15:08,"GVT Incline Bench","Incline Bench Press",3,30.0,10,0.0,0,""
2015-04-23 20:15:08,"GVT Incline Bench","Incline Bench Press",4,30.0,10,0.0,0,""
2015-04-23 20:15:08,"GVT Incline Bench","Incline Bench Press",5,30.0,10,0.0,0,""
2015-04-23 20:15:08,"GVT Incline Bench","Incline Bench Press",6,30.0,10,0.0,0,""
2015-04-23 20:15:08,"GVT Incline Bench","Incline Bench Press",7,30.0,10,0.0,0,""
2015-04-23 20:15:08,"GVT Incline Bench","Incline Bench Press",8,30.0,8,0.0,0,""
2015-04-23 20:15:08,"GVT Incline Bench","Incline Bench Press",9,30.0,6,0.0,0,""
2015-04-24 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",0,55.0,10,0.0,0,""
2015-04-24 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",1,55.0,10,0.0,0,""
2015-04-24 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",2,55.0,10,0.0,0,""
2015-04-24 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",3,55.0,10,0.0,0,""
2015-04-24 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",4,55.0,10,0.0,0,""
2015-04-24 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",5,55.0,9,0.0,0,""
2015-04-24 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",6,55.0,8,0.0,0,""
2015-04-24 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",7,55.0,9,0.0,0,""
2015-04-24 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",8,55.0,6,0.0,0,""
2015-04-24 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",9,55.0,10,0.0,0,""
2015-04-29 09:20:37,"Thursday","Bent Over Row (Dumbbell)",0,24.0,10,0.0,0,""
2015-04-29 09:20:37,"Thursday","Bent Over Row (Dumbbell)",1,24.0,10,0.0,0,""
2015-04-29 09:20:37,"Thursday","Bent Over Row (Dumbbell)",2,24.0,10,0.0,0,""
2015-04-29 09:20:37,"Thursday","Bent Over Row (Dumbbell)",3,24.0,10,0.0,0,""
2015-04-29 09:20:37,"Thursday","Bent Over Row (Dumbbell)",4,24.0,10,0.0,0,""
2015-04-29 09:20:37,"Thursday","Bent Over Row (Dumbbell)",5,24.0,10,0.0,0,""
2015-04-29 09:20:37,"Thursday","Bent Over Row (Dumbbell)",6,24.0,10,0.0,0,""
2015-04-29 09:20:37,"Thursday","Bent Over Row (Dumbbell)",7,24.0,10,0.0,0,""
2015-04-29 09:20:37,"Thursday","Bent Over Row (Dumbbell)",8,24.0,10,0.0,0,""
2015-04-29 09:20:37,"Thursday","Bent Over Row (Dumbbell)",9,24.0,10,0.0,0,""
2015-04-29 20:15:08,"GVT Bench","Bench Press",0,37.5,10,0.0,0,""
2015-04-29 20:15:08,"GVT Bench","Bench Press",1,37.5,10,0.0,0,""
2015-04-29 20:15:08,"GVT Bench","Bench Press",2,37.5,10,0.0,0,""
2015-04-29 20:15:08,"GVT Bench","Bench Press",3,37.5,10,0.0,0,""
2015-04-29 20:15:08,"GVT Bench","Bench Press",4,37.5,10,0.0,0,""
2015-04-29 20:15:08,"GVT Bench","Bench Press",5,37.5,10,0.0,0,""
2015-04-29 20:15:08,"GVT Bench","Bench Press",6,37.5,10,0.0,0,""
2015-04-29 20:15:08,"GVT Bench","Bench Press",7,37.5,10,0.0,0,""
2015-04-29 20:15:08,"GVT Bench","Bench Press",8,37.5,10,0.0,0,""
2015-04-29 20:15:08,"GVT Bench","Bench Press",9,37.5,10,0.0,0,""
2015-04-30 09:00:51,"GVT Incline Bench","Incline Bench Press",0,30.0,10,0.0,0,""
2015-04-30 09:00:51,"GVT Incline Bench","Incline Bench Press",1,30.0,10,0.0,0,""
